pageid,revid,rating,quality_score,userContrib,grammar,userID,timestamp,contribQuality
20328557,259029783,Stub,0.1,1.52,2.0,23407.0,2008-12-19T20:11:05Z,0.15
20928073,261510042,Stub,0.1,0.43,1.0,6713022.0,2009-01-02T20:07:00Z,0.04
28332432,378369548,Stub,0.1,2.81,10.0,753665.0,2010-08-11T14:48:30Z,0.28
5975244,64755345,Stub,0.1,0.24,0.0,105250.0,2006-07-19T23:41:09Z,0.02
7795231,85918977,Stub,0.1,0.12,2.0,1616157.0,2006-11-05T21:44:10Z,0.01
18620897,311538080,Stub,0.1,0.04,0.0,433328.0,2009-09-02T20:50:57Z,0.0
29551110,395958320,Stub,0.1,5.46,0.0,1616157.0,2010-11-10T16:34:01Z,0.55
1392765,19906084,Stub,0.1,5.19,3.0,117878.0,2005-07-30T06:48:26Z,0.52
4765408,52255855,Stub,0.1,0.08,3.0,1403150.0,2006-05-09T03:06:04Z,0.01
5509553,57953018,Stub,0.1,12.98,1.0,50423.0,2006-06-10T23:50:49Z,1.3
14471822,270830160,Stub,0.1,0.58,4.0,6569922.0,2009-02-15T06:12:35Z,0.06
24520271,316988297,Stub,0.1,0.68,3.0,8868632.0,2009-09-29T23:57:34Z,0.07
25192331,327736089,Stub,0.1,4.18,0.0,7009303.0,2009-11-24T21:16:46Z,0.42
25328499,329948736,Stub,0.1,8.41,1.0,7009303.0,2009-12-05T22:40:03Z,0.84
6080349,332313952,Stub,0.1,15.32,6.0,433328.0,2009-12-17T15:48:14Z,1.53
24817758,334243460,Stub,0.1,1.42,3.0,1951353.0,2009-12-27T10:51:50Z,0.14
29140584,426612697,Stub,0.1,1.64,4.0,1376828.0,2011-04-29T19:43:33Z,0.16
25390007,342647524,Stub,0.1,0.01,4.0,3927903.0,2010-02-08T06:06:16Z,0.0
27907882,372096867,Stub,0.1,1.77,7.0,1755837.0,2010-07-06T20:54:53Z,0.18
29564890,396185624,Stub,0.1,0.75,4.0,1616157.0,2010-11-11T20:03:33Z,0.08
35852229,493426371,Stub,0.1,0.02,1.0,264323.0,2012-05-20T01:30:02Z,0.0
5311798,83549514,Stub,0.1,15.21,7.0,228773.0,2006-10-25T01:40:57Z,1.52
3470585,175279893,Stub,0.1,0.5,1.0,2843077.0,2007-12-02T16:00:51Z,0.05
15098661,182733408,Stub,0.1,14.38,2.0,1616157.0,2008-01-07T14:31:37Z,1.44
15897243,193308924,Stub,0.1,0.21,1.0,94687.0,2008-02-22T17:46:23Z,0.02
6616484,202388233,Stub,0.1,1.81,5.0,6771835.0,2008-03-31T21:22:04Z,0.18
17621048,215050390,Stub,0.1,10.2,4.0,1616157.0,2008-05-26T14:03:45Z,1.02
23928192,309316799,Stub,0.1,16.53,6.0,9661331.0,2009-08-21T21:15:17Z,1.65
29460347,398060913,Stub,0.1,24.32,10.0,6015471.0,2010-11-21T14:47:18Z,2.43
41009361,587223395,Stub,0.1,6.95,4.0,6655086.0,2013-12-22T12:57:22Z,0.7
44075358,629072923,Stub,0.1,59.48,4.0,12529706.0,2014-10-10T16:47:44Z,5.95
5991302,71190400,Stub,0.1,0.59,9.0,1979668.0,2006-08-22T16:06:24Z,0.06
7438179,95405160,Stub,0.1,2.88,3.0,301395.0,2006-12-19T23:28:42Z,0.29
8100611,148121633,Stub,0.1,15.24,4.0,2278355.0,2007-07-30T20:36:21Z,1.52
13968476,167811942,Stub,0.1,2.33,3.0,117878.0,2007-10-29T10:09:53Z,0.23
15113013,243783483,Stub,0.1,9.36,4.0,1979668.0,2008-10-08T00:42:41Z,0.94
20895547,260975332,Stub,0.1,17.2,3.0,3187670.0,2008-12-30T23:02:36Z,1.72
22712877,288421782,Stub,0.1,1.15,3.0,511814.0,2009-05-07T05:56:40Z,0.12
25312571,329723387,Stub,0.1,28.46,2.0,7009303.0,2009-12-04T19:52:40Z,2.85
25365285,330555564,Stub,0.1,0.84,0.0,7009303.0,2009-12-08T23:00:57Z,0.08
